part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
017745,"SHROUD, ESPRESSO,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017784,"CSHN ONLY, SWINGBACK",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017784W,CSHN ONLY SWINGBACK,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017785,"CSHN ONLY, SWINGBACK",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017786,"CSHN ONLY, SWINGBACK",BEN,ACC,0.0,377.5,629.99,252.49,40.07,BEN
017787,"CSHN ONLY,SWINGBACK",BEN,ACC,0.0,255.0,425.0,170.0,40.0,BEN
017787W,CSHN ONLY SWINGBACK,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017793W,SWINGBACK ARM W/ 3,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017798,"CAP,CENTER,CORVINA",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017818,"10"" HINGE, OFFSET",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017834,"HARNESS, TRANSDUCER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017853,"LIGHT, ALL-ROUND, 36""",BEN,ACC,0.0,115.0,192.99,77.99,40.41,BEN
017853W,"LIGHT, ALL-ROUND, 36""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017859,ELECT ACTUATOR END,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017859W,ELECT ACTUATOR END,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017867W,10' CURVED BIMINI,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017882,"BIMINI STRUT W/RISER,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017917,"RIGGING CABLE,POWER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017918W,BRACKET BIMINI,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017936,BENCH COMPLETE STERN,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017938,FORWARD BOOT 15.5 16.5,BEN,ACC,0.0,260.0,429.99,169.99,39.53,BEN
017939,"FORWARD FRAME,15.5/16.",BEN,ACC,0.0,1295.0,2149.99,854.99,39.76,BEN
017940,FORWARD CANVAS 15.5,BEN,ACC,0.0,725.0,1199.99,474.99,39.58,BEN
017947,"CUPHOLDER,PLASTIC,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017949,LARGE PORT RAIL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017964,Small Bass Seat,BEN,ACV,0.0,185.0,225.0,40.0,17.77,BEN
017967W,"BACK, NO CSHN, 30-54""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017968,"BACK, NO CSHN, 59-69""",BEN,ACC,0.0,2235.0,3283.2,1048.2,31.92,BEN
017968W,"BACK, NO CSHN, 59-69""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017969,"BACK, NO CSHN, 72""+",BEN,ACC,0.0,1260.0,2084.0,824.0,39.53,BEN
017969W,"BACK, NO CSHN, 72""+",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017978,BENCH COMPLETE 23-3/4,BEN,ACC,0.0,1220.0,2033.5,813.5,40.0,BEN
017982,"BENCH, COMPLETE, 54"" S",BEN,ACC,0.0,875.0,1499.99,624.99,41.66,BEN
017982W,"BENCH COMPLETE 54"" S",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017984W,"BENCH COMPLETE 42-44""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017987,"BENCH, COMPLETE, 48-",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017994,BENCH COMPLETE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017994W,"BENCH COMPLETE 63-73""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
017996,BENCH COMPLETE,BEN,ACA,0.0,0.0,0.0,0.0,0.0,BEN
017999,"BENCH, COMPLETE, 89""",BEN,ACC,0.0,1255.0,2099.0,844.0,40.2,BEN
018010W,"BENCH COMPLETE 82-88""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018025,BOW FOOTBALL BOX,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018032,DELUXE OTTOMAN,BEN,ACC,0.0,1040.0,1735.0,695.0,40.05,BEN
018034,LOOSE ARM CUPHOLDER,BEN,ACC,0.0,160.0,267.0,107.0,40.07,BEN
018038,LOOSE ARM CUPHOLDER,BEN,ACC,0.0,230.0,385.25,155.25,40.29,BEN
018047,"POD ONLY, CONSOLE PAD",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018059,"POD ONLY,FB POD",BEN,ACC,0.0,365.0,365.0,0.0,0.0,BEN
018061,"CSHNS ONLY, 2PC",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018061W,CSHNS ONLY 2PC,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018075,"26"" RECLINING HELM",BEN,ACC,0.0,1325.0,2249.0,924.0,41.08,BEN
018075W,"26"" RECLINING HELM",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018081W,"26"" RECLINING HELM",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018091W,BENCH CLOSEOUT PANEL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018105,OTTOMAN,BEN,ACC,0.0,435.0,621.7,186.7,30.03,BEN
018108,DELUXE OTTOMAN,BEN,ACC,0.0,1610.0,2683.5,1073.5,40.0,BEN
018113,"SKIN ONLY, BENCH WRAP",BEN,ACV,0.0,0.0,429.99,429.99,100.0,BEN
018113W,"SKIN ONLY, BENCH WRAP",BEN,ACV,0.0,0.0,0.0,0.0,0.0,BEN
018115,BENCH CSHN OR POD,BEN,ACC,0.0,415.0,699.0,284.0,40.62,BEN
018115W,BENCH CSHN OR POD,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018121W,"HINGE GATE SS 1"" SLIP",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018127,Adj. Strut Bracket W/ Knob,BEN,ACC,0.0,13.0,26.0,13.0,50.0,BEN
018154,CLEARCOAT (HARDNER,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018163,"9"" RESTRAINT CABLE",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018164,GASKET ATTWOOD,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018165,"PYLON, REMOVABLE,",BEN,ACC,0.0,380.0,633.5,253.5,40.01,BEN
018165W,"PYLON, REMOVABLE,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018184,"TOUCHUP PAINT, TOWER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018201,"LADDER,STERN,4-STP,32"",",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018239,LOUNGE LID ONLY,BEN,ACC,0.0,125.0,209.0,84.0,40.19,BEN
018239W,LOUNGE LID ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018241,"FULL FURNITURE SET,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018241W,FULL FURN SET,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018257W,BIMINI LIGHT WIRE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018294,MY19 SXP/SX/S,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018295,MY19 SXP/SX/S SWITCH,BEN,AEL,0.0,0.0,0.0,0.0,0.0,BEN
018298,"MY20 G INST PNL, GRAPH",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018300,PUMP BILGE 1100 GPH,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018302W,"MEDIA CENTER, KICKER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018308,"TABLE, RECTANGULAR,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018308W,TABLE RECTANGULAR,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018309,TABLE RECTANGULAR,BEN,ACC,0.0,195.0,329.99,134.99,40.9,BEN
018311W,TANK GAS 33 GL DIRECT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018432W,"SPEAKER KICKER SLIM 6""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018433,"SPEAKER, KICKER, SLIM,",BEN,ACC,0.0,84.0,139.99,55.99,39.99,BEN
018433w,"SPEAKER KICKER SLIM 6""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018435,"GRILL,KICKER, SLIM,",BEN,ACC,0.0,9.5,15.0,5.5,36.66,BEN
018435W,"GRILL,KICKER, SLIM,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018443,"SWINGBACK ARM, PANEL",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018455,SHROUD CARBON,BEN,ACC,0.0,335.0,561.0,226.0,40.28,BEN
018456W,EYEBROW CARBON,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018457,EYEBROW CARBON L,BEN,ACC,0.0,105.0,178.0,73.0,41.01,BEN
018457W,EYEBROW CARBON L,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018478,ROD HOLDER (4 ROD),BEN,ACC,0.0,125.0,154.0,29.0,18.83,BEN
018481,PULL HANDLE CENTER,BEN,ACC,0.0,12.75,21.25,8.5,40.0,BEN
018481W,PULL HANDLE CENTER,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018495,"TABLE, SMALL KIDNEY,",BEN,ACC,0.0,105.0,175.0,70.0,40.0,BEN
018496W,"DOOR, ""S"" CONSOLE,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018560,SXP RGB STBD SWITCH,BEN,ACC,0.0,420.0,705.0,285.0,40.42,BEN
018610,WINDSHIELD CONSOLE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018622W,TRIM L-1 TRIM C140,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018623,"TRIM, L-5 TRIM, C140,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018630,"HEAD UNIT, ROCKFORD,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018632,"REMOTE, ROCKFORD,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018632W,REMOTE ROCKFORD,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018640W,"MEDIA CENTER, KICKER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018641W,CABLE REMOTE RCKFRD,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018652,"CHINE HD OPEN 204""",BEN,ACC,0.0,205.0,345.0,140.0,40.57,BEN
018655,"FOIL, SEALED, 116"" 6063,",BEN,ACC,0.0,134.0,229.0,95.0,41.48,BEN
018658,"FOIL, OPEN, 116"" 6063,",BEN,ACC,0.0,200.0,333.5,133.5,40.02,BEN
018661W,"CHINE HD SEALED 144""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018764W,RIGGING CABLE POWER,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018796,"LOGO,""BENNINGTON"",",BEN,ACC,0.0,14.0,22.99,8.99,39.1,BEN
018796W,"LOGO,""BENNINGTON"",",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018797,"LOGO, ""B"", SILVER, (SL24)",BEN,ACC,0.0,19.0,31.99,12.99,40.6,BEN
018797W,"LOGO, ""B"", SILVER, (SL24)",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018801,"CUPHOLDER, PLASTIC",BEN,ACC,0.0,11.75,19.99,8.24,41.22,BEN
018801W,CUPHOLDER PLASTIC,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
018816,"LOGO,""BENNINGTON"",LG",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019037,"GELCOAT, SILVER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019277,FENDER CLIP GREY,BEN,ACC,0.0,5.75,9.69,3.94,40.66,BEN
019278,FENDER CLIP BLACK,BEN,ACC,0.0,5.75,9.69,3.94,40.66,BEN
019337W,GELCOAT GRAPHITE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019342,SPORT ARCH TOWER,BEN,ACC,6.0,84.0,140.0,56.0,40.0,BEN
019342W,SPORT ARCH TOWER,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019343W,TRIM DECK FRT RUB RAIL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019448,BLACK LADDER PLUG W,BEN,ACC,0.0,4.0,7.29,3.29,45.13,BEN
019450,RGB CNTRL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019511,TABLE TRAPEZOID,BEN,ACC,0.0,200.0,334.99,134.99,40.29,BEN
019511W,TABLE TRAPEZOID,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019515,SEAT HELM CLAD LUX,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019562,"POST, TAPERLOCK,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019562W,"POST TAPERLOCK 10.875""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019563,"SWIVEL,TRAC-LOCK,2-3/8,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019564,"SLIDER,2-7/8"" LEFT LOCK,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019565,"PEDESTAL,SECGEN 8""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019703,"LIGHT,UNDERWATER,6-",BEN,ACC,0.0,185.0,308.5,123.5,40.03,BEN
019703W,"LIGHT,UNDERWATER,6-",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019703W-EXTRA,"LIGHT,UNDERWATER,6-",BEN,ACC,1.0,0.0,0.0,0.0,0.0,BEN
019705,HARNESS 5 DEC MAIN 16-,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019706,KIT DES ACTUATOR BOLT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019739,HARNESS BREAKER ELEC,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019752,DESIGNATOR IN,BEN,ACC,0.0,29.0,44.95,15.95,35.48,BEN
019770W,LADDER STERN 4-STEP,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019777,"RIGGING CABLE,POWER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019828,HAND RAIL SM-3XGF,BEN,ACC,0.0,95.0,158.35,63.35,40.0,BEN
019855W,"SENDING UNIT 11"" (1281)",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019960,CHAINPLATE 90 DEG BIM,BEN,ACC,0.0,72.0,122.0,50.0,40.98,BEN
019960W,CHAINPLATE 90 DEG BIM,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
019962,RIGGING CABLE DBL BIM,BEN,ACC,0.0,280.0,469.0,189.0,40.29,BEN
020039,"HANDLE, FISH STATION",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020042,"COVER PLATE, STRIKER 4",BEN,ACC,0.0,43.0,74.99,31.99,42.65,BEN
020043,"SWITCH DECAL, R/Q, ACC",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020044,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020045,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020046,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020112,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020113,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020156,"SWITCH DECAL, R/Q",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020159,HARNESS SCU,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020217,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020224,STND TOWER CANVAS,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020225,STND TOWER BOOT ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020230W,GAS ASSIST TOWER,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020265,"LOGO, CRYSTAL CAP, ""L""",BEN,ACC,0.0,6.75,11.25,4.5,40.0,BEN
020270,"POD ONLY, BOTTOM LNG",BEN,ACC,0.0,50.0,99.99,49.99,49.99,BEN
020275,"TANK,GAS,6 GAL",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020276,"KIT, FUEL LINE, 12' X 3/8""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020323,GAUGE TACH COMMAND,BEN,ACC,0.0,415.0,679.0,264.0,38.88,BEN
020324,GAUGE SPEED FUEL,BEN,ACC,0.0,511.5,749.0,237.5,31.7,BEN
020324W,GAUGE SPEED/FUEL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020327,MISC WAVETAMER PANEL,BEN,ACC,0.0,248.55,414.25,165.7,40.0,BEN
020327W,MISC WAVETAMER PANEL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020366,20-21 SX STBD RGB,BEN,ACC,0.0,37.0,62.99,25.99,41.26,BEN
020381,"TAB GATE GLIDE 2"" 3-",BEN,ACC,0.0,4.75,7.99,3.24,40.55,BEN
020394,BIMINI FRAME LED PUSH,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020396,"WINDSHIELD, BLACK",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020404,"PANEL STUDS - 2"" 72952",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020470,"GRAPHIC, L/LX, 10,",BEN,ACC,0.0,220.0,366.75,146.75,40.01,BEN
020525,GATE GLIDE RH SILVER,BEN,ACC,0.0,3.25,5.99,2.74,45.74,BEN
020526,GATE GLIDE LH SILVER,BEN,ACC,0.0,3.25,5.99,2.74,45.74,BEN
020528,"GATE GLIDE, LH, BLACK",BEN,ACC,0.0,3.5,5.99,2.49,41.56,BEN
020534,GATE STOP RIGHT W/RIBS,BEN,ACC,0.0,3.25,5.42,2.17,40.03,BEN
020534W,GATE STOP RIGHT W/RIBS,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020536W,HEAD UNIT 743XSV 010-,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020553,"LOGO, CRYSTAL CAP, ""S""",BEN,ACC,0.0,8.0,13.99,5.99,42.81,BEN
020553W,"LOGO, CRYSTAL CAP, ""S""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020554,"LOGO, CRYSTAL CAP, ""X""",BEN,ACC,0.0,8.75,14.99,6.24,41.62,BEN
020554W,"LOGO, CRYSTAL CAP, ""X""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020555,SB ARM PANEL ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020564,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020599,RADIO TRIM RING,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020607,"TAB,GATE GLIDE,2"" 3-",BEN,ACC,0.0,7.0,11.99,4.99,41.61,BEN
020619,ORDER WITH TACO BALL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020658W,LOCK,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020661,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020665W,FRAME 7' FWD POWER,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020667,"BIM TOP, 7' FWD POWER",BEN,ACC,0.0,685.0,1149.0,464.0,40.38,BEN
020667W,"BIM TOP, 7' FWD POWER",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020820,FRAME 7 FWD POWER,BEN,ACC,0.0,1110.0,1850.0,740.0,40.0,BEN
020821,FRAME 7' FWD POWER,BEN,ACC,0.0,1000.0,1679.0,679.0,40.44,BEN
020872,FRAME 7 AFT POWER TOP,BEN,ACC,0.0,945.0,1575.0,630.0,40.0,BEN
020948W,25/27' 8.5' STOWABLE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
020970,SKI PYLON 62IN,BEN,ACC,0.0,835.0,1400.0,565.0,40.35,BEN
021031,RAIL REINFORCEMENT,BEN,ACC,0.0,38.0,63.33,25.33,39.99,BEN
021046,"LIGHT, ANCHOR, 36"", LED",BEN,ACC,0.0,155.0,249.99,94.99,37.99,BEN
021072,BASE FLOOR TABLE,BEN,ACC,0.0,60.0,100.0,40.0,40.0,BEN
021073,SWIVEL TABLE MOUNT,BEN,ACC,0.0,71.0,111.0,40.0,36.03,BEN
021073W,SWIVEL TABLE MOUNT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021074,"POST TABLE MOUNT 27""",BEN,ACC,0.0,37.0,58.0,21.0,36.2,BEN
021077W,"SLIDER 2-7/8"" LEFT LOCK",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021080,"PEDESTAL,SECGEN 10""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021108W,HARNESS S 24SSR 65714,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021164,REMOTE KICKER KRC55,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021165,KRC55 REMOTE BEZEL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021169,"KIT, AMERICAN FLAG",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021180W,SOCKET W/ALUM INSERT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021184W,TRANSDUCER MOUNT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021230,"TRAY, BATTERY, SERIES",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021248W,OUTLET MARINE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021249W,COLLAPSIBLE HOSE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021250W,NOZZLE BULLSEYE 300-,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021253W,SIMRAD GO7 BEZEL ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021259,"20-22 SX INST PNL,STD",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021263,22 L SXP INST PNL 743XSV,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021265,SX RADIO PNL ONLY,BEN,ACC,0.0,80.0,119.0,39.0,32.77,BEN
0212657,20-22 SX STBD BLANK,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021265W,SX RADIO PNL ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021267,STBD BLANK PANEL,BEN,ACC,0.0,80.0,119.0,39.0,32.77,BEN
021267W,STBD BLANK PANEL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021273,"SWITCH DECAL, R/Q,",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021316W,8.5 x 7 FORWARD TOP,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021317W,8.5 X 7 FORWARD BOOT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021318W,8.5 X 7 REAR TOP ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021319W,8.5 X 7 REAR BOOT ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021324,CHARGER PHONE,BEN,ACC,0.0,130.0,200.0,70.0,35.0,BEN
021427W,"SKI TOW BAR RED 17""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021464W,"SHOCK GAS 40 LB 17""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021563W,"STRAP LADDER ASSY 48""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021656W,19-23 S INST PNL ONLY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021661W,19-23 S PORT SW PNL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021662W,19-23 S STBD SW PNL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021668W,19-23 S PORT SW PNL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021669W,19-23 S STBD SW PNL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021780W,CONV MERC 150 ANALOG,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021909,LOGO BENNINGTON,BEN,ACC,0.0,26.0,43.99,17.99,40.89,BEN
021918W,Lanyard stop switch Yamaha,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
021923,LOGO BENNINGTON,BEN,ACC,0.0,33.0,52.0,19.0,36.53,BEN
023057W,RECLINER MID SHG/CBN,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023210W,S-RECLINER HBK,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023264W,LIGHT PIN GATE GLIDE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023270W,CUPHOLDER PLASTIC,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023274W,TABLE SMALL KIDNEY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023495,GATE GLIDE LH SLV,BEN,ACC,0.0,2.75,4.99,2.24,44.88,BEN
023651,"ALL-AROUND LIGHT 24""",BEN,ACC,0.0,80.0,136.2,56.2,41.26,BEN
023651W,"ALL-AROUND LIGHT 24""",BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023652,ALL-AROUND LIGHT BASE,BEN,ACC,0.0,23.0,39.0,16.0,41.02,BEN
023652W,ALL-AROUND LIGHT BASE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023685W,LID FLOOR CENTER TB,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023759W,TOP WATER FUEL,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023761,KNOB 5/16-18 BATTERY,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023827,HARNESS ADAPTOR,BEN,ACC,0.0,21.0,35.5,14.5,40.84,BEN
023827W,HARNESS ADAPTOR,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
023850,SWINGBACK AFT RAIL,BEN,ACC,0.0,520.0,867.0,347.0,40.02,BEN
023914,CURTAIN PRIV SGL HOOP,BEN,ACC,0.0,125.0,208.5,83.5,40.04,BEN
023917,CURTAIN PRIV SWG BK,BEN,ACC,0.0,235.0,392.0,157.0,40.05,BEN
023952,KIT RPLMNT SCWITCH,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
024051,BASE TABLE THREADED,BEN,ACC,0.0,62.0,103.34,41.34,40.0,BEN
024065W,LATCH 2-1/2IN LOCKNG,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
024097W,RELAY VOLT SENSITIVE,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
024098W,SKI TOW SHIM BLACK,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
024165,WINDSCREEN S AND SV,BEN,ACC,0.0,85.0,141.67,56.67,40.0,BEN
024304W,LATCH BIMINI STRUT,BEN,ACC,0.0,0.0,0.0,0.0,0.0,BEN
