part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
100004,STEERING-HIGH,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100007W,STEERING - HYDRAULIC,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100007W-EXTRA,STEERING - HYDRAULIC,BAR,ACC,1.0,0.0,0.0,0.0,0.0,BAR
100047W,HARNESS - POWER,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100121W,Fastener - 5/16-18 Nylon,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100129,DISPLAY G07 HELM,BAR,ACC,0.0,1015.0,1699.0,684.0,40.25,BAR
100129S,Simrad Display - Simrad,BAR,ACC,0.0,1015.0,1623.0,608.0,37.46,BAR
100136W,EXTRUSION - SOLID KEEL,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100157,DECAL - NAME BADGE,BAR,ACC,0.0,42.65,69.99,27.34,39.06,BAR
100157W,DECAL - NAME BADGE,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100159,DECAL - MODEL,BAR,ACC,0.0,7.7,12.85,5.15,40.07,BAR
100168,RUBRAIL - SPLICE COVER,BAR,ACC,2.0,7.5,12.99,5.49,42.26,BAR
100200,"TUBE 26"" - 23' PORT",BAR,ACC,0.0,2950.0,4999.99,2049.99,40.99,BAR
100207W,FURNITURE - FLOOR,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100213,PLUG - 2.1 DUAL AMP USB,BAR,ACC,0.0,8.05,13.99,5.94,42.45,BAR
100213W,USB PORT,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100231,STEREO - HMR3 HERTZ -,BAR,ACC,0.0,200.0,334.99,134.99,40.29,BAR
100231W,Hertz radio,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100234,SPEAKER - MARINE 5,BAR,ACC,0.0,405.0,679.99,274.99,40.44,BAR
100234W,SPEAKER - MARINE 5,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100236,FORMED PLASTIC - V/L,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100237,FORMED PLASTIC - V/L,BAR,ACC,0.0,0.0,0.0,0.0,0.0,BAR
100274,LIGHT - NAV LOW,BAR,ACC,0.0,36.0,59.99,23.99,39.98,BAR
